file,pointer,navStyle,currentSource,navMode,fileName,pathOverride,confidence,note
lib/stac/tobank/flows/installment_payment/json_upload/installment_payment_list_main.json,/body/child/children[4]/child/child/children[6]/onPressed/actions[1],push,url=http://192.168.179.21:8101/api/configurations/v1.0/configs/resolve/ipaam.builder.form.form.installment_payment_detail_main/1,apiJson,installment_payment_detail_main,,auto,"real resolveUrl, address-equal"
lib/stac/tobank/flows/installment_payment/json_upload/installment_payment_others_detail_main.json,/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/installment_payment/json_upload/installment_payment_others_detail_main.json,/child/body/child/child/children[2]/child/children[6]/onPressed/actions[1]/sheet/child/child/children[10]/child/onPressed/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/installment_payment/json_upload/installment_payment_others_detail_main.json,/child/body/child/child/children[2]/child/children[6]/onPressed/actions[1]/sheet/child/child/children[10]/child/onPressed/actions[1],push,url=http://192.168.179.21:8101/api/configurations/v1.0/configs/resolve/ipaam.builder.form.form.installment_payment_others_receipt/1,apiJson,installment_payment_others_receipt,,auto,"real resolveUrl, address-equal"
lib/stac/tobank/flows/installment_payment/json_upload/installment_payment_others_main.json,/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/installment_payment/json_upload/installment_payment_others_main.json,/child/body/child/child/children[8]/onPressed/defaultAction,push,url=http://192.168.179.21:8101/api/configurations/v1.0/configs/resolve/ipaam.builder.form.form.installment_payment_others_detail_main/1,apiJson,installment_payment_others_detail_main,,auto,"real resolveUrl, address-equal"
lib/stac/tobank/flows/installment_payment/json_upload/installment_payment_others_receipt.json,/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/installment_payment/json_upload/installment_payment_receipt.json,/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/installment_payment/json_upload/installment_payment_start.json,/appBar/leading/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/installment_payment/json_upload/installment_payment_start.json,/body/child/children[0]/onPressed/sheet/child/child/children[4]/onTap/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/installment_payment/json_upload/installment_payment_start.json,/body/child/children[0]/onPressed/sheet/child/child/children[4]/onTap/actions[1],push,url=http://192.168.179.21:8101/api/configurations/v1.0/configs/resolve/ipaam.builder.form.form.installment_payment_list_main/1,apiJson,installment_payment_list_main,,auto,"real resolveUrl, address-equal"
lib/stac/tobank/flows/installment_payment/json_upload/installment_payment_start.json,/body/child/children[0]/onPressed/sheet/child/child/children[6]/onTap/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/installment_payment/json_upload/installment_payment_start.json,/body/child/children[0]/onPressed/sheet/child/child/children[6]/onTap/actions[1],push,url=http://192.168.179.21:8101/api/configurations/v1.0/configs/resolve/ipaam.builder.form.form.installment_payment_others_main/1,apiJson,installment_payment_others_main,,auto,"real resolveUrl, address-equal"
lib/stac/tobank/flows/login/json/login_form_dart.json,/child/body/child/children[1]/child/onPressed/actions[1]/results[0]/action/actions[2],pushReplacement,widgetType=dashboard_shell,dart,dashboard_shell,,auto,registry key == fileName
lib/stac/tobank/flows/login/json/login_onboarding.json,/child/body/onFinish,push,routeName=login_form_dart,dart,login_form_dart,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/login/json/login_splash.json,/action,pushReplacement,routeName=login_onboarding,dart,login_onboarding,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/notification/json/notification_intro.json,/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/notification/json_upload/notification_intro.json,/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/package/json/package_add_sim.json,/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/package/json/package_add_sim.json,/child/body/children[0]/child/child/children[2]/child/child/onPressed/actions[3],push,routeName=package_package_list,dart,package_package_list,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/package/json/package_add_sim.json,/child/body/children[0]/child/child/children[3]/child/child/onPressed/actions[1]/sheet/child/children[6]/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/package/json/package_add_sim.json,/child/body/children[0]/child/child/children[4]/child/child/onPressed/sheet/child/children[12]/onPressed/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/package/json/package_add_sim.json,/child/body/children[0]/child/child/children[4]/child/child/onPressed/sheet/child/children[12]/onPressed/actions[1]/sheet/child/children[10]/onPressed/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/package/json/package_add_sim.json,/child/body/children[0]/child/child/children[4]/child/child/onPressed/sheet/child/children[12]/onPressed/actions[1]/sheet/child/children[10]/onPressed/actions[1]/actions[3],push,routeName=package_package_list,dart,package_package_list,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/package/json/package_intro.json,/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/package/json/package_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[0]/child/child/onTap/actions[1],push,routeName=package_package_list,dart,package_package_list,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/package/json/package_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[0]/child/child/onLongPress/actions[1]/sheet/child/children[7]/onTap/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/package/json/package_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[0]/child/child/onLongPress/actions[1]/sheet/child/children[7]/onTap/actions[1]/sheet/child/child/children[8]/onPressed/actions[1],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/package/json/package_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[0]/child/child/onLongPress/actions[1]/sheet/child/children[9]/onTap/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/package/json/package_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[0]/child/child/onLongPress/actions[1]/sheet/child/children[11]/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/package/json/package_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[1]/child/child/onTap/actions[1],push,routeName=package_package_list,dart,package_package_list,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/package/json/package_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[1]/child/child/onLongPress/actions[1]/sheet/child/children[7]/onTap/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/package/json/package_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[1]/child/child/onLongPress/actions[1]/sheet/child/children[7]/onTap/actions[1]/sheet/child/child/children[8]/onPressed/actions[1],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/package/json/package_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[1]/child/child/onLongPress/actions[1]/sheet/child/children[9]/onTap/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/package/json/package_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[1]/child/child/onLongPress/actions[1]/sheet/child/children[11]/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/package/json/package_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[2]/child/child/onTap/actions[1],push,routeName=package_package_list,dart,package_package_list,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/package/json/package_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[2]/child/child/onLongPress/actions[1]/sheet/child/children[7]/onTap/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/package/json/package_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[2]/child/child/onLongPress/actions[1]/sheet/child/children[7]/onTap/actions[1]/sheet/child/child/children[8]/onPressed/actions[1],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/package/json/package_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[2]/child/child/onLongPress/actions[1]/sheet/child/children[9]/onTap/actions[0],pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/package/json/package_intro.json,/child/body/children[0]/child/child/children[3]/child/child/child/children[1]/child/children[2]/child/child/onLongPress/actions[1]/sheet/child/children[11]/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/package/json/package_intro.json,/child/body/children[0]/child/child/children[5]/children[0]/onPressed,push,routeName=package_add_sim,dart,package_add_sim,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/package/json/package_package_list.json,/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/package/json/package_package_list.json,/child/body/child/child/child/children[3]/replacement/child/onPressed,push,routeName=package_payment,dart,package_payment,,auto,"routeName is registered dart key, address-equal"
